Name/Client,Industry,Date Uploaded,Portal Demo Link,Onedrive Demo Link,Script File,Solution,Use Case Explained,,Client Problem,Instalily AI Capabilities,Benefit to Client,Portal Demo Link,Demo link 
Audi V2,Automotive,7/8/2025,Audi Demo V2,Audi Demo V2,Copy of Audi Research/Script,,,,,,,Audi Demo V2,https://player.vimeo.com/video/1099742943?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
ICP,Business (General),7/7/2025,ICP Demo,ICP Demo,icp,,,,"Navigate multiple sources of information, take hours to analyze data of products, losing time","Lily field service agent for industry specific jobs helps customers find products, availability in stores (shares information with Territory Manager), shares tutorial, and refers customers to correct product with instructions",Simplifies shopping experience for contractors and customers ,ICP Demo,https://portal.instalily.ai/demo/c2ce75e0-3051-4309-9ee1-bab976f233fe
Audi,Automotive,7/3/2025,Audi demo,Audi demo,Audi Research/Script,,,,,,,Audi demo,https://portal.instalily.ai/demo/6aa8e69e-cc6b-4880-a23e-7d6c71b85dce
Bain Capital Insurance,Financial Services,7/3/2025,The Mutual Group Demo,The Mutual Group Demo,Bain Capital Insurance / The Mutual Group,,,,,,,The Mutual Group Demo,https://portal.instalily.ai/demo/5528b1ed-82c5-4a9a-ae58-aff041b1b3e4
AEA,Financial Services,7/2/2025,Nations Roof Demo,Nations Roof Demo,AEA Research and Script,,,,,,,Nations Roof Demo,https://portal.instalily.ai/demo/f12bd416-301f-4b9f-b30a-a82ef44400f4
Auto and General Demo,Business (General),7/2/2025,Auto and General Demo,Auto and General Demo,Auto & General Demo,,,,,,,Auto and General Demo,https://portal.instalily.ai/demo/bf114f34-96e9-43d1-b494-f471510cfabc
The Mutal Group,Business (General),7/2/2025,The Mutual Group Demo,The Mutual Group Demo,Bain Capital Insurance / The Mutual Group,,,,"The Mutual Group faces rising operational costs, manual processing inefficiencies, and increased fraud risk across claims and underwriting.","The demo showcases InstaLILY’s unique ability to orchestrate specialized AI agents—InstaWorkers™—that autonomously extract data, assess claims, detect fraud, and generate underwriting insights in real time.","By incorporating the capabilities shown in this demo, The Mutual Group can significantly reduce costs, accelerate decision-making, and scale operations without increasing headcount.",The Mutual Group Demo,https://portal.instalily.ai/demo/7f2f36a9-5d32-44a4-b833-245e90cb7c18
TricorBraun Demo,Shipping & logistics,7/2/2025,TricorBraun Demo,TricorBraun,Tricorbraun,,,,"TricorBraun faces fragmented supplier networks, unpredictable demand, and frequent disruptions that make it difficult for supply-chain directors to maintain visibility and control across 100+ sites.","This demo highlights InstaLILY’s unique ability to deploy specialized AI agents—InstaWorkers™—that integrate real-time data from systems, suppliers, and market feeds to detect disruptions, simulate responses, and recommend high-impact actions.","By incorporating these capabilities, TricorBraun can proactively manage supply chain volatility, reduce costs, and consistently deliver on customer commitments at scale.",TricorBraun Demo,https://portal.instalily.ai/demo/d7b5ee53-0255-4a6f-bf9e-6ce24293c0fb
ARCO Demo,Construction,7/1/2025,ARCO Demo,ARCO Demo,ARCO Demo Script,,,,"ARCO’s sales team struggles with disjointed workflows, missed follow-ups, and reliance on manual tools like Excel and email to manage high-value opportunities.","This demo showcases InstaLILY’s AI agents—InstaWorkers™—that dynamically gather deal data, surface insights, and generate personalized outreach across channels, all in response to natural-language commands.","With these capabilities, ARCO can accelerate deal cycles, re-engage key prospects, and close more business without increasing sales overhead.",ARCO Demo,https://portal.instalily.ai/demo/70ee7f4b-99ec-414e-993b-66397ecd150c
Parts Source B,Parts Procurement,7/1/2025,PartsSource B,PartsSource B,,,,,"Representatives spent hours searching catalogs, verifying compliances, checking stocks, and gathering documents, little time for upselling and relationship building","Lily analyzes inputted data and suggests products that fits the customer's need, ensures compliances with standards, inventory availability, and ways to enhance the use of the product","Build client relationship, increase order value, and streamline shopping process",PartsSource B,https://portal.instalily.ai/demo/70ee7f4b-99ec-414e-993b-66397ecd150c
Parts Source A,Parts Procurement,7/1/2025,PartsSource A,PartsSource A,,,,,"Representatives spent hours searching catalogs, verifying compliances, checking stocks, and gathering documents, little time for upselling and relationship building","Lily analyzes inputted data and suggests products that fits the customer's need, ensures compliances with standards, inventory availability, and ways to enhance the use of the product","Build client relationship, increase order value, and streamline shopping process",PartsSource A,https://portal.instalily.ai/demo/d7b5ee53-0255-4a6f-bf9e-6ce24293c0fb
DSV,Shipping & logistics,7/1/2025,DVS Demo,DSV Demo,DSV,,,,"DSV operations managers face fragmented workflows, complex system integrations, and constant supply chain disruptions that hinder timely, cost-effective decision-making.","This demo highlights InstaLILY’s unique AI agents—InstaWorkers™—that integrate multilingual inputs, live logistics data, and real-time system intelligence to generate and execute optimized mitigation strategies.","By adopting these capabilities, DSV can streamline operations, resolve disruptions faster, and deliver higher service levels with less manual effort.",DVS Demo,https://portal.instalily.ai/demo/bc58c5db-9f00-4990-ad00-326448a6643b
Henry Schein Procurement V3,Procurement,6/27/2025,Henry Schein v3,Henry Schein v3,Henry Schein Demo Script,,,,"Henry Schein’s supply chain team struggles with manual, fragmented workflows across legacy systems, making it difficult to stay ahead of disruptions and meet aggressive savings targets.","This demo highlights InstaLILY’s AI agents—InstaWorkers™—that integrate directly with existing systems to orchestrate tasks like forecasting, data cleanup, and supplier management through natural-language commands.","By adopting these capabilities, Henry Schein can drive faster, more accurate decisions, improve operational agility, and achieve cost savings without adding headcount or replacing core systems.",Henry Schein v3,https://portal.instalily.ai/demo/a378efaa-70bf-445c-922e-230e3c61dda4
Keensight Capital/Unither,Healthcare,6/27/2025,Unither Demo,Unither Demo,Unither Pharmaceuticals Research/Script,,,,"Unither’s sales team struggles with fragmented data, inconsistent forecasting, and delays caused by regional silos and time zone barriers, making it difficult to close deals quickly and accurately.","This demo highlights InstaLILY’s unique AI agents—InstaWorkers™—that integrate real-time signals from global systems, forecast demand without historical data, and generate compliant, tailored proposals with just a single prompt.","By adopting these capabilities, Unither can accelerate deal cycles, reduce missed opportunities, and empower sales teams to act with precision and speed across global markets.",Unither Demo,https://portal.instalily.ai/demo/2ad4bc2b-5b41-4139-b19a-302d3368ace0
Petco Demo V3,Consumer Goods,6/26/2025,Petco Demo V3,Petco Demo V3,petco script/research,,,,"Petco store managers struggle with fragmented tools, reactive problem-solving, and constant operational firefighting that limits their ability to drive performance and customer loyalty.","This demo highlights InstaLILY’s AI agents—InstaWorkers™—that dynamically orchestrate inventory, service schedules, and customer engagement using real-time store data and operational insights.","By adopting these capabilities, Petco can empower store managers to run smoother, more profitable locations while delivering consistently exceptional customer experiences.",Petco Demo V3,https://portal.instalily.ai/demo/62abf1ff-5f03-4da0-9d46-c3d2d4c20a57
Petco Demo v2,Procurement,6/26/2025,Petco Demo v2,Petco Demo v2,petco script/research,,,,"Petco struggles to deliver truly personalized, proactive customer experiences that build loyalty and anticipate pet owners' evolving needs.","This demo showcases InstaLILY’s AI agents—InstaWorkers™—that integrate purchase history, behavior signals, and health data to provide real-time, tailored recommendations, bookings, and follow-ups.","By implementing these capabilities, Petco can transform into a trusted partner for pet parents—boosting retention, satisfaction, and lifetime value.",Petco Demo v2,https://portal.instalily.ai/demo/6aba4949-68b4-4aa6-b4bf-ed34b92c5af6
Henry Schein (Procurement),Procurement,6/26/2025,Henry Schein (Procurement),Henry Schein (Procurement),Henry Schein Demo Script,,,,"Solving a problem requires looking at several sites, caluclating manually, and determing the right amount of a product, which is inefficient and results in errors","Lily generates customer ingishts based on past purchased products, customer trends, matching with client needs, provides instructions, and utilizes user engagement with platform for future insights ","Lily helps customers find the right product, quantity, and streamline the shopping experience, helping CAMO increase customer satisfaction",Henry Schein (Procurement),https://portal.instalily.ai/demo/31cebacc-76b7-466e-a2c0-a677ebb013e7
Henry Schein,Healthcare,6/25/2025,Henry Schein Demo,Henry Schein Demo,Henry Schein Demo Script,,,,Managers often have a difficult time finding the correct product and managing recurring orders,,,Henry Schein Demo,https://portal.instalily.ai/demo/2d49aaa3-bf83-4962-b425-a43e1c0fd2a4
Petco Demo v1,Procurement,6/25/2025,Petco Demo v1,Petco Demo v1,petco script/research,,,,Search bar does not fully grasp everything that customers need to purchase,"Lily tracks customer quick actions,  matches customer to the perfect part recommends quantity needed for purchase, and provides a tutorial","Enhances customer purchase, increases customer shopping experience, helps find the right parts, and raises revenue",Petco Demo v1,https://portal.instalily.ai/demo/288c6d5e-9f88-4b2c-8abf-0d34cde1ee88
United Rentals Demo,Rental,6/25/2025,United Rentals,United Rentals,United Rentals Demo,,,,United Rentals sales reps struggle with fragmented systems and manual processes that slow down daily prioritization and limit proactive customer engagement.,"This demo showcases InstaLILY’s unique AI agents—InstaWorkers™—that unify data from Salesforce, Total Control®, and telematics to surface high-impact opportunities and automate outreach in real time.","By leveraging these capabilities, United Rentals can boost sales productivity, reduce churn risk, and deepen customer relationships without increasing rep workload.",United Rentals,https://portal.instalily.ai/demo/c6fe29fd-4475-4e54-ab39-1da39dcf1f8c
Western Union,Financial Services,6/25/2025,Western Union Demo,Western Union Demo,western union,,,,"Western Union customers face slow, confusing digital experiences and language barriers, while recipients struggle with unreliable branch access and unclear cash availability.","This demo features InstaLILY’s AI agents—InstaWorkers™—that enable real-time, multilingual conversations, integrate live branch data, and personalize every step of the money transfer experience.","By adopting these capabilities, Western Union can deliver a seamless, human-like experience that builds trust, boosts loyalty, and increases global transaction volume.",Western Union Demo,https://portal.instalily.ai/demo/063c9352-78ff-466c-9e40-0fc6b02d4e51
Kichler Lighting 2,Procurement,6/24/2025,Kichler Lighting Demo v2,Kichler Lighting Demo v2,Kichler Lighting Demo (2),,,,"Kichler account managers struggle with fragmented data, delayed distributor insights, and missed opportunities to proactively support customers.","This demo highlights InstaLILY’s AI agents—InstaWorkers™—that unify internal systems, detect risk signals in real time, and generate personalized, multi-step recovery plans tailored to each account.","By adopting these capabilities, Kichler can boost efficiency, strengthen customer relationships, and turn operational setbacks into growth opportunities across its entire portfolio.",Kichler Lighting Demo v2,https://portal.instalily.ai/demo/0680749e-60ed-4708-b09a-c30ffd8d8490
